date,t,up,up_pred,price
2010-03-19,6339,1,1,10741.980469
2010-03-22,6340,1,1,10785.889648
2010-03-23,6341,1,0,10888.830078
2010-03-24,6342,1,1,10836.150391
2010-03-25,6343,1,1,10841.209961
2010-03-26,6344,1,0,10850.360352
2010-03-29,6345,1,1,10895.860352
2010-03-30,6346,0,0,10907.419922
2010-03-31,6347,1,0,10856.629883
2010-04-01,6348,1,1,10927.070313
2010-04-05,6349,1,1,10973.549805
2010-04-06,6350,1,0,10969.990234
2010-04-07,6351,1,0,10897.519531
2010-04-08,6352,1,1,10927.070313
2010-04-09,6353,1,1,10997.349609
2010-04-12,6354,1,1,11005.969727
2010-04-13,6355,1,1,11019.419922
2010-04-14,6356,1,0,11123.110352
2010-04-15,6357,0,0,11144.570313
2010-04-16,6358,1,0,11018.660156
2010-04-19,6359,1,1,11092.049805
2010-04-20,6360,0,1,11117.05957
2010-04-21,6361,0,1,11124.919922
2010-04-22,6362,1,0,11134.290039
2010-04-23,6363,0,1,11204.280273
2010-04-26,6364,0,1,11205.030273
2010-04-27,6365,0,1,10991.990234
2010-04-28,6366,0,1,11045.269531
2010-04-29,6367,0,1,11167.320313
2010-04-30,6368,0,1,11008.610352
2010-05-03,6369,0,0,11151.830078
2010-05-04,6370,0,1,10926.769531
2010-05-05,6371,1,1,10866.830078
2010-05-06,6372,1,1,10520.320313
2010-05-07,6373,1,1,10380.429688
2010-05-10,6374,0,1,10785.139648
2010-05-11,6375,0,0,10748.259766
2010-05-12,6376,0,0,10896.910156
2010-05-13,6377,0,0,10782.950195
2010-05-14,6378,0,0,10620.160156
2010-05-17,6379,0,0,10625.830078
2010-05-18,6380,0,0,10510.950195
2010-05-19,6381,0,1,10444.370117
2010-05-20,6382,1,0,10068.009766
2010-05-21,6383,0,1,10193.389648
2010-05-24,6384,0,0,10066.570313
2010-05-25,6385,1,0,10043.75
2010-05-26,6386,1,1,9974.450195
2010-05-27,6387,0,0,10258.990234
2010-05-28,6388,0,0,10136.629883
2010-06-01,6389,0,0,10024.019531
2010-06-02,6390,0,0,10249.540039
2010-06-03,6391,0,0,10255.280273
2010-06-04,6392,1,1,9931.969727
2010-06-07,6393,1,1,9816.490234
2010-06-08,6394,1,1,9939.980469
2010-06-09,6395,1,1,9899.25
2010-06-10,6396,1,1,10172.530273
2010-06-11,6397,1,1,10211.070313
2010-06-14,6398,1,1,10190.889648
2010-06-15,6399,0,1,10404.769531
2010-06-16,6400,0,1,10409.459961
2010-06-17,6401,0,1,10434.169922
2010-06-18,6402,0,1,10450.639648
2010-06-21,6403,0,1,10442.410156
2010-06-22,6404,0,1,10293.519531
2010-06-23,6405,0,0,10298.44043
2010-06-24,6406,0,1,10152.799805
2010-06-25,6407,0,0,10143.80957
2010-06-28,6408,0,0,10138.519531
2010-06-29,6409,1,0,9870.299805
2010-06-30,6410,1,0,9774.019531
2010-07-01,6411,1,1,9732.530273
2010-07-02,6412,1,0,9686.480469
2010-07-06,6413,1,0,9743.620117
2010-07-07,6414,1,0,10018.280273
2010-07-08,6415,1,0,10138.990234
2010-07-09,6416,0,0,10198.030273
2010-07-12,6417,0,0,10216.269531
2010-07-13,6418,0,0,10363.019531
2010-07-14,6419,0,0,10366.719727
2010-07-15,6420,0,0,10359.30957
2010-07-16,6421,1,1,10097.900391
2010-07-19,6422,1,1,10154.429688
2010-07-20,6423,1,1,10229.959961
2010-07-21,6424,1,1,10120.530273
2010-07-22,6425,1,1,10322.299805
2010-07-23,6426,1,1,10424.620117
2010-07-26,6427,1,0,10525.429688
2010-07-27,6428,1,1,10537.69043
2010-07-28,6429,1,1,10497.879883
2010-07-29,6430,1,1,10467.160156
2010-07-30,6431,1,1,10465.94043
2010-08-02,6432,1,1,10674.379883
2010-08-03,6433,1,1,10636.379883
2010-08-04,6434,0,1,10680.429688
2010-08-05,6435,0,0,10674.980469
2010-08-06,6436,0,0,10653.55957
2010-08-09,6437,0,0,10698.75
2010-08-10,6438,0,1,10644.25
2010-08-11,6439,1,1,10378.830078
2010-08-12,6440,0,1,10319.950195
2010-08-13,6441,0,1,10303.150391
2010-08-16,6442,0,1,10302.009766
2010-08-17,6443,0,1,10405.849609
2010-08-18,6444,0,1,10415.540039
2010-08-19,6445,0,1,10271.209961
2010-08-20,6446,0,1,10213.620117
2010-08-23,6447,0,1,10174.410156
2010-08-24,6448,0,0,10040.450195
2010-08-25,6449,1,1,10060.05957
2010-08-26,6450,1,1,9985.80957
2010-08-27,6451,1,1,10150.650391
2010-08-30,6452,1,0,10009.730469
2010-08-31,6453,1,0,10014.719727
2010-09-01,6454,1,0,10269.469727
2010-09-02,6455,1,0,10320.099609
2010-09-03,6456,1,0,10447.929688
2010-09-07,6457,1,0,10340.69043
2010-09-08,6458,1,1,10387.009766
2010-09-09,6459,1,1,10415.240234
2010-09-10,6460,1,1,10462.769531
2010-09-13,6461,1,0,10544.129883
2010-09-14,6462,1,0,10526.490234
2010-09-15,6463,1,1,10572.730469
2010-09-16,6464,1,0,10594.830078
2010-09-17,6465,1,0,10607.849609
2010-09-20,6466,1,1,10753.620117
2010-09-21,6467,1,1,10761.030273
2010-09-22,6468,1,0,10739.30957
2010-09-23,6469,1,0,10662.419922
2010-09-24,6470,0,1,10860.259766
2010-09-27,6471,0,0,10812.040039
2010-09-28,6472,1,0,10858.139648
2010-09-29,6473,1,1,10835.280273
2010-09-30,6474,1,1,10788.049805
2010-10-01,6475,1,1,10829.679688
2010-10-04,6476,1,1,10751.269531
2010-10-05,6477,1,1,10944.719727
2010-10-06,6478,1,1,10967.650391
2010-10-07,6479,1,1,10948.580078
2010-10-08,6480,1,0,11006.480469
2010-10-11,6481,1,1,11010.339844
2010-10-12,6482,0,1,11020.400391
2010-10-13,6483,1,1,11096.080078
2010-10-14,6484,1,1,11094.570313
2010-10-15,6485,1,1,11062.780273
2010-10-18,6486,1,1,11143.69043
2010-10-19,6487,1,1,10978.620117
2010-10-20,6488,1,1,11107.969727
2010-10-21,6489,0,0,11146.570313
2010-10-22,6490,0,1,11132.55957
2010-10-25,6491,0,1,11164.049805
2010-10-26,6492,1,0,11169.459961
2010-10-27,6493,1,1,11126.280273
2010-10-28,6494,1,1,11113.950195
2010-10-29,6495,1,1,11118.490234
2010-11-01,6496,1,1,11124.620117
2010-11-02,6497,1,0,11188.719727
2010-11-03,6498,1,0,11215.129883
2010-11-04,6499,0,1,11434.839844
2010-11-05,6500,0,0,11444.080078
2010-11-08,6501,0,1,11406.839844
2010-11-09,6502,0,1,11346.75
2010-11-10,6503,0,1,11357.040039
2010-11-11,6504,0,1,11283.099609
2010-11-12,6505,1,1,11192.580078
2010-11-15,6506,0,1,11201.969727
2010-11-16,6507,1,1,11023.5
2010-11-17,6508,1,1,11007.879883
2010-11-18,6509,0,1,11181.230469
2010-11-19,6510,0,1,11203.549805
2010-11-22,6511,0,1,11178.580078
2010-11-23,6512,1,1,11036.370117
2010-11-24,6513,1,1,11187.280273
2010-11-26,6514,1,0,11091.870117
2010-11-29,6515,1,0,11052.490234
2010-11-30,6516,1,0,11006.019531
2010-12-01,6517,1,1,11255.780273
2010-12-02,6518,1,1,11362.410156
2010-12-03,6519,1,0,11382.089844
2010-12-06,6520,1,0,11362.19043
2010-12-07,6521,1,0,11359.160156
2010-12-08,6522,1,0,11372.480469
2010-12-09,6523,1,0,11370.05957
2010-12-10,6524,1,1,11410.320313
2010-12-13,6525,1,0,11428.55957
2010-12-14,6526,1,1,11476.540039
2010-12-15,6527,1,1,11457.469727
2010-12-16,6528,1,1,11499.25
2010-12-17,6529,1,1,11491.910156
2010-12-20,6530,1,1,11478.129883
2010-12-21,6531,1,1,11533.160156
2010-12-22,6532,1,1,11559.490234
2010-12-23,6533,1,0,11573.490234
2010-12-27,6534,1,0,11555.030273
2010-12-28,6535,1,0,11575.540039
2010-12-29,6536,1,1,11585.379883
2010-12-30,6537,1,0,11569.709961
2010-12-31,6538,1,0,11577.509766
2011-01-03,6539,0,1,11670.75
2011-01-04,6540,0,0,11691.179688
2011-01-05,6541,1,0,11722.889648
2011-01-06,6542,1,0,11697.30957
2011-01-07,6543,1,0,11674.759766
2011-01-10,6544,1,1,11637.450195
2011-01-11,6545,1,1,11671.879883
2011-01-12,6546,1,1,11755.44043
2011-01-13,6547,1,0,11731.900391
2011-01-14,6548,1,1,11787.379883
2011-01-18,6549,1,1,11837.929688
2011-01-19,6550,1,0,11825.290039
2011-01-20,6551,1,0,11822.799805
2011-01-21,6552,0,1,11871.839844
2011-01-24,6553,0,1,11980.519531
2011-01-25,6554,1,1,11977.19043
2011-01-26,6555,1,1,11985.44043
2011-01-27,6556,1,1,11989.830078
2011-01-28,6557,1,1,11823.700195
2011-01-31,6558,1,1,11891.929688
2011-02-01,6559,1,1,12040.160156
2011-02-02,6560,1,0,12041.969727
2011-02-03,6561,1,1,12062.259766
2011-02-04,6562,1,1,12092.150391
2011-02-07,6563,1,0,12161.629883
2011-02-08,6564,0,1,12233.150391
2011-02-09,6565,1,1,12239.889648
2011-02-10,6566,1,1,12229.290039
2011-02-11,6567,1,1,12273.259766
2011-02-14,6568,0,1,12268.19043
2011-02-15,6569,0,1,12226.639648
2011-02-16,6570,0,1,12288.169922
2011-02-17,6571,0,1,12318.139648
2011-02-18,6572,0,0,12391.25
2011-02-22,6573,0,0,12212.790039
2011-02-23,6574,0,1,12105.780273
2011-02-24,6575,1,1,12068.5
2011-02-25,6576,1,1,12130.450195
2011-02-28,6577,0,1,12226.339844
2011-03-01,6578,1,1,12058.019531
2011-03-02,6579,1,1,12066.799805
2011-03-03,6580,0,1,12258.200195
2011-03-04,6581,0,0,12169.879883
2011-03-07,6582,0,0,12090.030273
2011-03-08,6583,0,1,12214.379883
2011-03-09,6584,0,0,12213.089844
2011-03-10,6585,0,1,11984.610352
2011-03-11,6586,0,1,12044.400391
2011-03-14,6587,1,1,11993.160156
2011-03-15,6588,1,1,11855.419922
2011-03-16,6589,1,1,11613.299805
2011-03-17,6590,1,0,11774.589844
2011-03-18,6591,1,0,11858.519531
2011-03-21,6592,1,0,12036.530273
2011-03-22,6593,1,0,12018.629883
2011-03-23,6594,1,0,12086.019531
2011-03-24,6595,1,1,12170.55957
2011-03-25,6596,1,1,12220.589844
2011-03-28,6597,1,1,12197.879883
2011-03-29,6598,1,0,12279.009766
2011-03-30,6599,1,1,12350.610352
2011-03-31,6600,1,1,12319.730469
2011-04-01,6601,1,1,12376.719727
2011-04-04,6602,0,1,12400.030273
2011-04-05,6603,0,1,12393.900391
2011-04-06,6604,0,0,12426.75
2011-04-07,6605,0,0,12409.490234
2011-04-08,6606,0,0,12380.049805
2011-04-11,6607,0,1,12381.110352
2011-04-12,6608,1,1,12263.580078
2011-04-13,6609,1,1,12270.990234
2011-04-14,6610,1,1,12285.150391
2011-04-15,6611,1,1,12341.830078
2011-04-18,6612,1,0,12201.589844
2011-04-19,6613,1,0,12266.75
2011-04-20,6614,1,1,12453.540039
2011-04-21,6615,1,0,12505.990234
2011-04-25,6616,1,1,12479.879883
2011-04-26,6617,1,0,12595.370117
2011-04-27,6618,1,0,12690.959961
2011-04-28,6619,0,1,12763.30957
2011-04-29,6620,0,1,12810.540039
2011-05-02,6621,0,1,12807.360352
2011-05-03,6622,0,0,12807.509766
2011-05-04,6623,0,1,12723.580078
2011-05-05,6624,1,1,12584.169922
2011-05-06,6625,0,1,12638.740234
2011-05-09,6626,0,1,12684.679688
2011-05-10,6627,0,0,12760.360352
2011-05-11,6628,0,0,12630.030273
2011-05-12,6629,0,0,12695.919922
2011-05-13,6630,0,1,12595.75
2011-05-16,6631,0,1,12548.370117
2011-05-17,6632,0,1,12479.580078
2011-05-18,6633,0,1,12560.179688
2011-05-19,6634,0,0,12605.320313
2011-05-20,6635,0,0,12512.040039
2011-05-23,6636,1,0,12381.259766
2011-05-24,6637,0,1,12356.209961
2011-05-25,6638,0,0,12394.660156
2011-05-26,6639,0,0,12402.759766
2011-05-27,6640,0,0,12441.580078
2011-05-31,6641,0,1,12569.790039
2011-06-01,6642,0,0,12290.139648
2011-06-02,6643,0,1,12248.549805
2011-06-03,6644,0,1,12151.259766
2011-06-06,6645,0,0,12089.959961
2011-06-07,6646,1,0,12070.80957
2011-06-08,6647,0,1,12048.94043
2011-06-09,6648,0,0,12124.360352
2011-06-10,6649,1,1,11951.910156
2011-06-13,6650,1,1,11952.969727
2011-06-14,6651,1,1,12076.110352
2011-06-15,6652,1,0,11897.269531
2011-06-16,6653,1,0,11961.519531
2011-06-17,6654,0,0,12004.360352
2011-06-20,6655,0,1,12080.379883
2011-06-21,6656,0,1,12190.009766
2011-06-22,6657,1,1,12109.669922
2011-06-23,6658,1,1,12050.0
2011-06-24,6659,1,0,11934.580078
2011-06-27,6660,1,1,12043.55957
2011-06-28,6661,1,1,12188.69043
2011-06-29,6662,1,0,12261.419922
2011-06-30,6663,1,1,12414.339844
2011-07-01,6664,0,0,12582.769531
2011-07-05,6665,0,1,12569.870117
2011-07-06,6666,0,1,12626.019531
2011-07-07,6667,0,1,12719.490234
2011-07-08,6668,0,1,12657.200195
2011-07-11,6669,0,1,12505.759766
2011-07-12,6670,1,0,12446.879883
2011-07-13,6671,1,1,12491.610352
2011-07-14,6672,1,0,12437.120117
2011-07-15,6673,1,1,12479.730469
2011-07-18,6674,1,0,12385.160156
2011-07-19,6675,0,0,12587.419922
2011-07-20,6676,0,0,12571.910156
2011-07-21,6677,0,0,12724.410156
2011-07-22,6678,0,0,12681.160156
2011-07-25,6679,0,0,12592.799805
2011-07-26,6680,0,0,12501.299805
2011-07-27,6681,0,1,12302.549805
2011-07-28,6682,0,1,12240.110352
2011-07-29,6683,0,1,12143.240234
2011-08-01,6684,0,1,12132.490234
2011-08-02,6685,0,0,11866.620117
2011-08-03,6686,0,0,11896.44043
2011-08-04,6687,0,1,11383.679688
2011-08-05,6688,0,1,11444.610352
2011-08-08,6689,1,1,10809.849609
2011-08-09,6690,1,1,11239.769531
2011-08-10,6691,1,1,10719.94043
2011-08-11,6692,0,1,11143.30957
2011-08-12,6693,0,0,11269.019531
2011-08-15,6694,0,1,11482.900391
2011-08-16,6695,0,0,11405.929688
2011-08-17,6696,0,1,11410.209961
2011-08-18,6697,1,1,10990.580078
2011-08-19,6698,1,1,10817.650391
2011-08-22,6699,1,1,10854.650391
2011-08-23,6700,1,1,11176.759766
2011-08-24,6701,1,1,11320.709961
2011-08-25,6702,1,1,11149.820313
2011-08-26,6703,0,1,11284.540039
2011-08-29,6704,0,1,11539.25
2011-08-30,6705,0,1,11559.950195
2011-08-31,6706,0,1,11613.530273
2011-09-01,6707,0,1,11493.570313
2011-09-02,6708,0,0,11240.259766
2011-09-06,6709,0,1,11139.299805
2011-09-07,6710,0,1,11414.860352
2011-09-08,6711,1,1,11295.80957
2011-09-09,6712,1,1,10992.129883
2011-09-12,6713,1,0,11061.120117
2011-09-13,6714,1,0,11105.849609
2011-09-14,6715,0,1,11246.730469
2011-09-15,6716,0,1,11433.179688
2011-09-16,6717,0,0,11509.089844
2011-09-19,6718,0,0,11401.009766
2011-09-20,6719,0,1,11408.660156
2011-09-21,6720,0,0,11124.839844
2011-09-22,6721,1,0,10733.830078
2011-09-23,6722,1,0,10771.480469
2011-09-26,6723,0,0,11043.860352
2011-09-27,6724,0,1,11190.69043
2011-09-28,6725,0,0,11010.900391
2011-09-29,6726,0,0,11153.980469
2011-09-30,6727,1,1,10913.379883
2011-10-03,6728,1,1,10655.299805
2011-10-04,6729,1,1,10808.709961
2011-10-05,6730,1,1,10939.950195
2011-10-06,6731,1,0,11123.330078
2011-10-07,6732,1,0,11103.120117
2011-10-10,6733,0,0,11433.179688
2011-10-11,6734,1,0,11416.299805
2011-10-12,6735,0,0,11518.849609
2011-10-13,6736,1,0,11478.129883
2011-10-14,6737,1,0,11644.490234
2011-10-17,6738,1,0,11397.0
2011-10-18,6739,1,1,11577.049805
2011-10-19,6740,1,0,11504.620117
2011-10-20,6741,1,1,11541.780273
2011-10-21,6742,1,1,11808.790039
2011-10-24,6743,1,1,11913.620117
2011-10-25,6744,0,0,11706.620117
2011-10-26,6745,0,0,11869.040039
2011-10-27,6746,0,1,12208.549805
2011-10-28,6747,0,1,12231.110352
2011-10-31,6748,1,0,11955.009766
2011-11-01,6749,1,0,11657.959961
2011-11-02,6750,0,0,11836.040039
2011-11-03,6751,0,0,12044.469727
2011-11-04,6752,1,1,11983.240234
2011-11-07,6753,1,1,12068.389648
2011-11-08,6754,0,0,12170.179688
2011-11-09,6755,1,0,11780.94043
2011-11-10,6756,0,1,11893.860352
2011-11-11,6757,0,1,12153.679688
2011-11-14,6758,0,0,12078.980469
2011-11-15,6759,0,0,12096.160156
2011-11-16,6760,0,0,11905.589844
2011-11-17,6761,0,1,11770.730469
2011-11-18,6762,0,1,11796.160156
2011-11-21,6763,1,1,11547.30957
2011-11-22,6764,1,1,11493.719727
2011-11-23,6765,1,1,11257.549805
2011-11-25,6766,1,0,11231.650391
2011-11-28,6767,1,0,11523.009766
2011-11-29,6768,1,0,11555.629883
2011-11-30,6769,1,1,12045.679688
2011-12-01,6770,0,0,12020.030273
2011-12-02,6771,1,0,12019.419922
2011-12-05,6772,0,0,12097.830078
2011-12-06,6773,0,1,12150.129883
2011-12-07,6774,0,0,12196.370117
2011-12-08,6775,0,0,11997.700195
2011-12-09,6776,0,1,12184.259766
2011-12-12,6777,0,0,12021.389648
2011-12-13,6778,1,0,11954.94043
2011-12-14,6779,1,1,11823.480469
2011-12-15,6780,1,1,11868.80957
2011-12-16,6781,1,0,11866.389648
2011-12-19,6782,1,1,11766.259766
2011-12-20,6783,1,0,12103.580078
2011-12-21,6784,1,1,12107.740234
2011-12-22,6785,1,0,12169.650391
2011-12-23,6786,1,0,12294.0
2011-12-27,6787,1,0,12291.349609
2011-12-28,6788,1,0,12151.410156
2011-12-29,6789,1,1,12287.040039
2011-12-30,6790,1,1,12217.55957
2012-01-03,6791,1,1,12397.379883
2012-01-04,6792,1,1,12418.419922
2012-01-05,6793,1,1,12415.700195
2012-01-06,6794,1,0,12359.919922
2012-01-09,6795,1,0,12392.69043
2012-01-10,6796,1,0,12462.469727
2012-01-11,6797,1,0,12449.450195
2012-01-12,6798,1,1,12471.019531
2012-01-13,6799,1,1,12422.05957
2012-01-17,6800,1,1,12482.070313
2012-01-18,6801,1,0,12578.950195
2012-01-19,6802,1,0,12623.980469
2012-01-20,6803,0,1,12720.480469
2012-01-23,6804,0,0,12708.820313
2012-01-24,6805,0,0,12675.75
2012-01-25,6806,0,1,12758.849609
2012-01-26,6807,0,1,12734.629883
2012-01-27,6808,1,1,12660.459961
2012-01-30,6809,1,1,12653.719727
2012-01-31,6810,1,1,12632.910156
2012-02-01,6811,1,1,12716.459961
2012-02-02,6812,1,1,12705.410156
2012-02-03,6813,0,1,12862.230469
2012-02-06,6814,1,1,12845.129883
2012-02-07,6815,1,1,12878.200195
2012-02-08,6816,0,0,12883.950195
2012-02-09,6817,1,0,12890.459961
2012-02-10,6818,1,1,12801.230469
2012-02-13,6819,1,1,12874.040039
2012-02-14,6820,1,1,12878.280273
2012-02-15,6821,1,1,12780.950195
2012-02-16,6822,1,1,12904.080078
2012-02-17,6823,1,0,12949.870117
2012-02-21,6824,1,1,12965.69043
2012-02-22,6825,1,1,12938.669922
2012-02-23,6826,0,1,12984.69043
2012-02-24,6827,0,1,12982.950195
2012-02-27,6828,0,1,12981.509766
2012-02-28,6829,0,1,13005.120117
2012-02-29,6830,0,1,12952.070313
2012-03-01,6831,0,1,12980.299805
2012-03-02,6832,0,1,12977.570313
2012-03-05,6833,0,1,12962.80957
2012-03-06,6834,1,1,12759.150391
2012-03-07,6835,1,1,12837.330078
2012-03-08,6836,1,1,12907.94043
2012-03-09,6837,1,1,12922.019531
2012-03-12,6838,1,0,12959.709961
2012-03-13,6839,0,0,13177.679688
2012-03-14,6840,0,0,13194.099609
2012-03-15,6841,0,1,13252.759766
2012-03-16,6842,0,1,13232.620117
2012-03-19,6843,1,1,13239.129883
2012-03-20,6844,1,1,13170.19043
2012-03-21,6845,1,1,13124.620117
2012-03-22,6846,1,1,13046.139648
2012-03-23,6847,1,1,13080.730469
